req_id,requirement,pc_source_refs,api_id,endpoint,iso_flow,contract_section,app_artefact,test_id,status,notes
REQ-AUTH-001,Register and create product-specific developer app,"PC-GETTING-STARTED;PC-RTR-TECH",API-AUTH-001,POST /accesstoken,OAuth2 client_credentials,CTR-TOKEN,server/rtr-client.js#getAccessToken,TST-AUTH-001,Pass,Requires rtr-sandbox-product
REQ-AUTH-002,Use OAuth2 bearer access token,"PC-ACCESS-TOKEN;PC-GETTING-STARTED",API-AUTH-001,POST /accesstoken,OAuth2 client_credentials,CTR-TOKEN,server/rtr-client.js#getAccessToken,TST-AUTH-001,Pass,Use expires_in for refresh
REQ-AUTH-003,App product must be rtr-sandbox-product,PC-API-TOOLKIT prerequisites,API-AUTH-001,POST /accesstoken + RTR calls,OAuth product binding,CTR-TOKEN,client CredentialsPanel authMeta.productOk,TST-PRODUCT-001,Pass,payments-rail-sandbox yields 401 on RTR
REQ-EXCH-001,Send payment pacs.008 respond pacs.002 or admi.002,"PC-RTR-PORTAL;PC-RTR-FACT;PC-RTR-ISO-HUB",API-PAY-001,POST /rtr-sandbox/payments,pacs.008->pacs.002/admi.002,CTR-SEND,server/scenarios.js#send-payment,TST-PAY-001,Pass,Live ACSP observed
REQ-EXCH-002,Payment enquiry pacs.028 respond pacs.002 or admi.002,"PC-RTR-PORTAL;PC-RTR-FACT;PC-RTR-ISO-HUB",API-STS-001,POST /rtr-sandbox/payments/status,pacs.028->pacs.002/admi.002,CTR-STATUS,server/scenarios.js#payment-status,TST-STS-001,Pass,Reuse UETR/E2E/message id
REQ-EXCH-003,Heartbeat admi.004 respond admi.011 or admi.002,"PC-RTR-PORTAL;PC-RTR-ISO-HUB",API-HBT-001,POST /rtr-sandbox/inbound-heartbeat,admi.004->admi.011/admi.002,CTR-HEARTBEAT,server/scenarios.js#heartbeat,TST-HBT-001,Pass,Event code HBRT
REQ-CNS-001,Interest report camt.003 respond camt.004 or admi.002,PC-RTR-PORTAL,API-INT-001,POST /rtr-sandbox/interest-report,camt.003->camt.004/admi.002,CTR-INTEREST,server/scenarios.js#interest-report,TST-INT-001,Pass,STAB and IAMT balances
REQ-CNS-002,Balance report camt.003 respond camt.004 or admi.002,PC-RTR-PORTAL,API-BAL-001,POST /rtr-sandbox/payment-capacity-balance-report,camt.003->camt.004/admi.002,CTR-BALANCE,server/scenarios.js#balance-*,TST-BAL-001,Partial,Sandbox often returns empty {}
REQ-VAL-001,Syntax validation failures return admi.002,"PC-RTR-PORTAL;PC-RTR-ISO-HUB",API-PAY-002,POST /rtr-sandbox/payments,pacs.008->admi.002,CTR-REJECT,server/scenarios.js#send-payment-reject,TST-PAY-002,Pass,FF02 observed
REQ-HDR-002,UETR tracking for payments,PC-API-TOOLKIT parameters,API-PAY-001/API-STS-001,/payments and /payments/status,x-uetr + payment_identification.uetr,CTR-SEND/CTR-STATUS,server/rtr-client.js#extractUetr,TST-PAY-001,Pass,Persisted in session store
REQ-HDR-003,traceability-id correlation,PC-API-TOOLKIT parameters,All RTR APIs,/rtr-sandbox/*,UUID header,Common headers,server/rtr-client.js,TST-E2E-001,Pass,Generated per call
REQ-HDR-004,x-jws-signature payload integrity,PC-API-TOOLKIT headers,All RTR APIs,/rtr-sandbox/*,JWS,Common headers,Not implemented in sandbox client,GAP-JWS-001,Gap,Required for production-grade signing
REQ-SEC-001,Keep consumer secret server-side,PC portal security practice,API-AUTH-001,/accesstoken,Basic auth server-side,CTR-TOKEN,Express proxy + .env,TST-AUTH-001,Pass,Not shipped to browser bundle
